"list"	"premset"	"ss"	"item"	"rules"	"ruletype"
"178"	1	"posAnegC"	24	3	"cat"	3
"179"	1	"posAnegC"	25	3	"cat"	3
"180"	1	"posAnegC"	26	3	"cat"	3
"181"	1	"posAnegC"	27	3	"cat"	3
"182"	1	"posAnegC"	28	3	"rest"	5
"183"	1	"posAnegC"	29	3	"cat"	3
"184"	1	"posAnegC"	30	3	"sub"	2
"185"	1	"posAnegC"	31	3	"cat"	3
"186"	1	"posAnegC"	32	3	"base"	1
"187"	1	"posAnegC"	33	3	"cat"	3
"188"	1	"posAnegC"	34	3	"cat"	3
"189"	1	"posAnegC"	35	3	"cat"	3
"190"	1	"posAnegC"	36	3	"cat"	3
"191"	1	"posAnegC"	37	3	"cat"	3
"192"	1	"posAnegC"	38	3	"cat"	3
"193"	2	"posA"	39	3	"sub"	2
"194"	2	"posA"	40	3	"base"	1
"195"	2	"posA"	41	3	"cat"	3
"196"	2	"posA"	42	3	"rest"	5
"197"	2	"posA"	43	3	"super"	4
"198"	2	"posA"	44	3	"cat"	3
"199"	2	"posA"	45	3	"cat"	3
"200"	2	"posA"	46	3	"cat"	3
"201"	2	"posA"	47	3	"super"	4
"202"	2	"posA"	48	3	"cat"	3
"203"	2	"posA"	49	3	"cat"	3
"204"	2	"posA"	50	3	"cat"	3
"205"	2	"posA"	51	3	"cat"	3
"206"	2	"posA"	52	3	"cat"	3
"207"	2	"posA"	53	3	"cat"	3
"208"	2	"posA"	54	3	"cat"	3
"209"	2	"posA"	55	3	"rest"	5
"210"	2	"posA"	56	3	"sub"	2
"211"	2	"posA"	57	3	"cat"	3
"212"	2	"posA"	58	3	"cat"	3
"213"	2	"posA"	59	3	"cat"	3
"214"	2	"posA"	60	3	"rest"	5
"215"	2	"posA"	61	3	"cat"	3
"216"	2	"posA"	62	3	"sub"	2
"217"	2	"posA"	63	3	"rest"	5
"218"	2	"posA"	64	3	"cat"	3
"219"	2	"posA"	65	3	"cat"	3
"220"	2	"posA"	66	3	"cat"	3
"221"	2	"posA"	67	3	"cat"	3
"222"	2	"posA"	68	3	"cat"	3
"223"	2	"posA"	69	3	"rest"	5
"224"	2	"posA"	70	3	"cat"	3
"225"	2	"posA"	71	3	"cat"	3
"226"	2	"posA"	72	3	"cat"	3
"227"	2	"posA"	73	3	"rest"	5
"228"	2	"posA"	74	3	"cat"	3
"229"	2	"posA"	75	3	"cat"	3
"230"	2	"posA"	76	3	"base"	1
"231"	2	"posA"	77	3	"cat"	3
"232"	1	"posAnegC"	1	4	"cat"	3
"233"	1	"posAnegC"	2	4	"sub"	2
"234"	1	"posAnegC"	3	4	"sub"	2
"235"	1	"posAnegC"	4	4	"cat"	3
"236"	1	"posAnegC"	5	4	"sub"	2
"237"	1	"posAnegC"	6	4	"cat"	3
"238"	1	"posAnegC"	7	4	"cat"	3
"239"	1	"posAnegC"	8	4	"cat"	3
"240"	1	"posAnegC"	9	4	"cat"	3
"241"	1	"posAnegC"	10	4	"cat"	3
